Emotion,Sentence
Happy,আমি মনে করি এই ছবিটি সাধারণ এবং অনলাইনে পাওয়া যায় এমনটি। সেটা কিছুটা স্বাভাবিক।
Angry,এই ছবির প্লট তুমি কি খুশিতে খুশি করছো? অন্যদের সঙ্গে একটু হাসি হাসি করো না!
Fearful,পোস্টটি দেখে আমি খুব ভয় পাচ্ছি। কখনো আমি এই ধরণের জিনিস দেখি না।
Sad,এই পোস্টটি দেখে আমার মন দুঃখিত হয়ে গেল। তুমি একটি মন্তব্যের মাধ্যমে এত ব্যস্ত হয়ে গেলে আমাকে দুঃখ হয়।
Happy,এই পোস্টটি দেখে আমি সম্পূর্ণরূপে শান্তি অনুভব করছি। সেটা সাধারণ এবং মনোযোগ করে রাখা যায়।
Disgust,আমি মনে করি এই মুভিটি ঘৃণাসম্পন্ন এবং অস্বাভাবিক। আমি কেমনে একটা ঘৃণাসম্পন্ন প্রয়াসে সমর্থ হতে পারি?
Surprise,ওহো! আমি আশ্চর্য়চকিত হয়ে গেলাম এই পোস্টটি দেখে! এটা অত্যন্ত স্থায়ীভাবে আমাকে আশ্চর্য় করলো!
Happy,আমি মনে করি এই পোস্টটি অস্বাভাবিক নয় এবং এটা সাধারণ মনে করে। কিছুটা মাঝামাঝি।
Angry,এই গানটি শুনে আমি মনে করছি তুমি কি এতটা অসহ্য করছো? এই প্রতিক্রিয়াটি অন্যের মনে অসহ্য করছে।
Fearful,এই পোস্টটি দেখে আমি খুব ভয়ঙ্কর হয়ে যাচ্ছি। এটা আমার জন্য অনুপ্রাণিতকারী এবং খুব কিছু ভয়ঙ্কর।
Sad,পোস্টটি দেখে আমার মন দুঃখিত হয়ে গেল। তুমি একটি বিষণ্নতাময় মন্তব্য করেছে।
Happy,এই পোস্টটি দেখে আমি সান্ত্বনা অনুভব করছি। সেটা আমার মনে প্রশান্তি এনে দিচ্ছে।
Disgust,আমি মনে করি এই প্রশংসামূলক মন্তব্যটি অস্বাভাবিক এবং ঘৃণাসম্পন্ন। কেমনে কেউ এতটা ঘৃণাসম্পন্ন হতে পারে?
